,urlkey,timestamp,original,mimetype,statuscode,digest,length,first_capture,last_capture,current_status,file_path
37,"au,gov,education,heimshelp)/sites/heimshelp/files/documents/support/documents/training/webinar-revising-your-data.pptx",20190406174229,https://heimshelp.education.gov.au/sites/heimshelp/files/documents/Support/Documents/Training/Webinar-Revising-your-data.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,L25OYDL2ALRQHEE2PJPZGZMKJGOKLRXL,1193946,20180415170314,20190406174229,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-documents-support-documents-training-webinar-revising-your-data-pptx-20190406174229.pptx
38,"au,gov,education,heimshelp)/sites/heimshelp/files/documents/support/documents/training/webinar-simplifying-verification-he.pptx",20190406174402,https://heimshelp.education.gov.au/sites/heimshelp/files/documents/Support/Documents/Training/Webinar-Simplifying-Verification-HE.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,NXAOO6UWQSOWCHDF4T4PXOB76CQHQALJ,2066645,20180415170417,20190406174402,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-documents-support-documents-training-webinar-simplifying-verification-he-pptx-20190406174402.pptx
39,"au,gov,education,heimshelp)/sites/heimshelp/files/documents/support/documents/training/webinar-student-concordance-submission.pptx",20190406175246,https://heimshelp.education.gov.au/sites/heimshelp/files/documents/Support/Documents/Training/Webinar-Student-Concordance-Submission.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,I5DULRFL4WDNSVX6R35CIDOJNGXJYVZJ,515761,20170318055331,20190406175246,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-documents-support-documents-training-webinar-student-concordance-submission-pptx-20190406175246.pptx
40,"au,gov,education,heimshelp)/sites/heimshelp/files/documents/support/documents/training/webinar-tax-file-number-verification-2.pptx",20190406173107,https://heimshelp.education.gov.au/sites/heimshelp/files/documents/Support/Documents/Training/Webinar-Tax-File-Number-Verification-2.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,TTP3W2TACKDESVMUNGM3KDFVZGWDPUTZ,1462979,20180415164626,20190406173107,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-documents-support-documents-training-webinar-tax-file-number-verification-2-pptx-20190406173107.pptx
41,"au,gov,education,heimshelp)/sites/heimshelp/files/documents/support/documents/training/webinar-tax-file-number-verification.pptx",20190406173153,https://heimshelp.education.gov.au/sites/heimshelp/files/documents/Support/Documents/Training/Webinar-Tax-File-Number-Verification.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,PDC4OBPGQE5CAAB24RTZQ5Y5QLHXRERU,1212708,20180415164728,20190406173153,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-documents-support-documents-training-webinar-tax-file-number-verification-pptx-20190406173153.pptx
42,"au,gov,education,heimshelp)/sites/heimshelp/files/documents/support/documents/training/webinar-validating-your-data.pptx",20190406173806,https://heimshelp.education.gov.au/sites/heimshelp/files/documents/Support/Documents/Training/Webinar-Validating-Your-Data.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,5P2KQ6I2TCOLM6ZR6MR7N2WWPS6YDCQV,1675532,20180415165326,20190406173806,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-documents-support-documents-training-webinar-validating-your-data-pptx-20190406173806.pptx
43,"au,gov,education,heimshelp)/sites/heimshelp/files/documents/support/documents/training/webinar-vet-completions-q-and-a.pptx",20190406174003,https://heimshelp.education.gov.au/sites/heimshelp/files/documents/Support/Documents/Training/Webinar-VET-Completions-Q-and-A.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,FH73NDFQPB4PPTZ4KNXDUWXEFLWWJO3Z,1579247,20170318054544,20190406174003,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-documents-support-documents-training-webinar-vet-completions-q-and-a-pptx-20190406174003.pptx
44,"au,gov,education,heimshelp)/sites/heimshelp/files/response-to-the-discussion-paper-8-june.ppsx",20190321235745,https://heimshelp.education.gov.au/sites/heimshelp/files/response-to-the-discussion-paper-8-june.ppsx,application/vnd.openxmlformats-officedocument.presentationml.slideshow,200,7E5T4YV7BHP37YQ234MCBRPUCAMJQITQ,1335507,20180622001959,20190321235745,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-response-to-the-discussion-paper-8-june-ppsx-20190321235745.ppsx
45,"au,gov,education,heimshelp)/sites/heimshelp/files/roadshow-feedback-webinar.pptx?v=1533779715",20190321235655,https://heimshelp.education.gov.au/sites/heimshelp/files/roadshow-feedback-webinar.pptx?v=1533779715,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,3V7I537JKTK3OEBHQK7WFUG6HIVINWHO,2471646,20190321235655,20190321235655,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-roadshow-feedback-webinar-pptx-v-1533779715-20190321235655.pptx
46,"au,gov,education,heimshelp)/sites/heimshelp/files/tcsi-proposed-solution-8-june.ppsx",20190321235819,https://heimshelp.education.gov.au/sites/heimshelp/files/tcsi-proposed-solution-8-june.ppsx,application/vnd.openxmlformats-officedocument.presentationml.slideshow,200,XU6BUFZF3XQGA47EO62U5ARR65OCWMIW,1387652,20180622002543,20190321235819,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-tcsi-proposed-solution-8-june-ppsx-20190321235819.ppsx
47,"au,gov,education,heimshelp)/sites/heimshelp/files/tcsi-roadshow-presentation.ppsx",20190321235544,https://heimshelp.education.gov.au/sites/heimshelp/files/tcsi-roadshow-presentation.ppsx,application/vnd.openxmlformats-officedocument.presentationml.slideshow,200,Y6KALJGMIAE26ZDF52C67SNDTDG7GPME,2702316,20190321235544,20190321235544,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-tcsi-roadshow-presentation-ppsx-20190321235544.ppsx
48,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-2020-reporting-requirements-and-portal-follow-up-15-feb-2019.pptx",20190321234930,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-2020-reporting-requirements-and-portal-follow-up-15-feb-2019.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,LAMP4VAKEHEN3BDJV3DEY6UMZ5FGITVE,2213011,20190321234930,20190321234930,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-2020-reporting-requirements-and-portal-follow-up-15-feb-2019-pptx-20190321234930.pptx
49,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-pir-heims-online.pptx",20190319112846,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-pir-heims-online.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,PC5KNNX5OSGLFXABXNOTGFTCIAHLLWA7,2506121,20190319112846,20190319112846,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-pir-heims-online-pptx-20190319112846.pptx
50,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-pir-heims-online_0.pptx?v=1534815076",20190319113402,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-pir-heims-online_0.pptx?v=1534815076,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,GDQPJSTOHNFFHG3SWFMG7XUVOWEA4XZZ,1768719,20190319113402,20190319113402,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-pir-heims-online-0-pptx-v-1534815076-20190319113402.pptx
51,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-pir-introduction-to-heims.pptx",20190319113224,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-pir-introduction-to-heims.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,OFJJ2UX276V5CBQ3PH6TMZWJ7CZGBRX4,1471767,20190319113224,20190319113224,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-pir-introduction-to-heims-pptx-20190319113224.pptx
52,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-pir-staff-data.pptx",20190319113442,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-pir-staff-data.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,LADFWIROP7F3UHC5BBBBRJKGML46B3PZ,1239366,20190319113442,20190319113442,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-pir-staff-data-pptx-20190319113442.pptx
53,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-pir-validating-your-data.pptx",20190319111859,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-pir-validating-your-data.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,L37LURSYVDHDXWVGJ5U67HKH4WOVQEHR,1250599,20190319111859,20190319111859,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-pir-validating-your-data-pptx-20190319111859.pptx
54,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-reporting-getting-started.pptx?v=1550102800",20190406173457,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-reporting-getting-started.pptx?v=1550102800,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,HVNRDRZOGASRT5DGRII652PZBAWMIZQ6,1652708,20190406173457,20190406173457,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-reporting-getting-started-pptx-v-1550102800-20190406173457.pptx
55,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-reporting-with-hepcat.pptx?v=1550102774",20190406173615,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-reporting-with-hepcat.pptx?v=1550102774,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,EWXQ3XN2YZJTXSPLOOCKUY5YLNDYSZC5,1479538,20190406173615,20190406173615,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-reporting-with-hepcat-pptx-v-1550102774-20190406173615.pptx
56,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-shining-a-spotlight-on-changes-27-feb-2019.pptx",20190321234818,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-shining-a-spotlight-on-changes-27-feb-2019.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,X33XTNJKOQXXFVWPNIST7WRNTSYRF7WV,2111170,20190321234818,20190321234818,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-shining-a-spotlight-on-changes-27-feb-2019-pptx-20190321234818.pptx
57,"au,gov,education,heimshelp)/sites/heimshelp/files/webinar-tcsi-portal-demo-07-feb-2019-web.pptx",20190321235014,https://heimshelp.education.gov.au/sites/heimshelp/files/webinar-tcsi-portal-demo-07-feb-2019-web.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,200,75BCJCRV6JB3SI554MJXMLFHUGUJE7ZK,751442,20190321235014,20190321235014,200,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-files-webinar-tcsi-portal-demo-07-feb-2019-web-pptx-20190321235014.pptx
58,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-heims-online.pptx",20170220230848,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-HEIMS-Online.pptx,application/vnd.ms-powerpoint.presentation.12,200,QYYXI7AML4FF5DFF7GJAD4NTTSY4VF3Y,1180093,20170220230848,20170618083314,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-heims-online-pptx-20170220230848.pptx
59,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-heims-online.pptx",20180327163409,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-HEIMS-Online.pptx,application/vnd.ms-powerpoint.presentation.12,200,T6YUFIFYJE7NQUHI3DSAT4HKNLBS5DCM,2541762,20180327163409,20180327163409,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-heims-online-pptx-20180327163409.pptx
60,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-introduction-to-heims.pptx",20170220225816,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-Introduction-to-HEIMS.pptx,application/vnd.ms-powerpoint.presentation.12,200,M27CK5YPOAV5OMNX6BQIS2R5IU3CDNDS,1760015,20170220225816,20170618083320,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-introduction-to-heims-pptx-20170220225816.pptx
61,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-introduction-to-heims.pptx",20180327163700,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-Introduction-to-HEIMS.pptx,application/vnd.ms-powerpoint.presentation.12,200,UJ6XPILGZ75V2AC3EY6ZEN5KXK24JWYM,1552132,20180327163700,20180327163700,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-introduction-to-heims-pptx-20180327163700.pptx
62,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-reporting-with-hepcat.pptx",20170220230429,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-Reporting-with-HEPCAT.pptx,application/vnd.ms-powerpoint.presentation.12,200,XPGZM73CH7DIWB6B57PRGSGOT54OPPSJ,3164140,20170220230429,20170618081711,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-reporting-with-hepcat-pptx-20170220230429.pptx
63,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-reporting-with-hepcat.pptx",20180327163949,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-Reporting-with-HEPCAT.pptx,application/vnd.ms-powerpoint.presentation.12,200,IKMJOM4GVEZUGVM7CEIRU6EUQB7F2DQV,3187082,20180327163949,20180327163949,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-reporting-with-hepcat-pptx-20180327163949.pptx
64,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-staff-data.pptx",20170220231125,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-Staff-data.pptx,application/vnd.ms-powerpoint.presentation.12,200,3G3KXKN3I3KKQJVCWDQSPJZNE2E7O6KT,1476922,20170220231125,20170618083325,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-staff-data-pptx-20170220231125.pptx
65,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-staff-data.pptx",20180327164125,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-Staff-data.pptx,application/vnd.ms-powerpoint.presentation.12,200,JZE2I4XLMBWXIAJBWWUVHGGXM3EVM56M,1261173,20180327164125,20180327164125,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-staff-data-pptx-20180327164125.pptx
66,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-validating-your-data.pptx",20170220224053,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-Validating-your-data.pptx,application/vnd.ms-powerpoint.presentation.12,200,S2HWH5YFPVYDFWECO2GYIFUZUN3VDPCF,1361245,20170220224053,20170618002918,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-validating-your-data-pptx-20170220224053.pptx
67,"au,gov,education,heimshelp)/sites/heimshelp/pir/documents/webinar-pir-validating-your-data.pptx",20180327161740,http://heimshelp.education.gov.au/sites/heimshelp/PIR/Documents/Webinar-PIR-Validating-your-data.pptx,application/vnd.ms-powerpoint.presentation.12,200,2RJSP2BNG6TWHUOX7UNXG2ZMMT5NARQG,1158280,20180327161740,20180327161740,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-pir-documents-webinar-pir-validating-your-data-pptx-20180327161740.pptx
68,"au,gov,education,heimshelp)/sites/heimshelp/resources/documents/providers-data-collections-survey-presentation.ppsx",20180406224450,http://heimshelp.education.gov.au/sites/heimshelp/Resources/Documents/Providers-Data-Collections-Survey-Presentation.ppsx,application/vnd.ms-powerpoint.show.12,200,KYORUUAX3XFOCCFLTUH5RGJ56IDVAQ7V,226184,20180406224450,20180406224450,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-resources-documents-providers-data-collections-survey-presentation-ppsx-20180406224450.ppsx
69,"au,gov,education,heimshelp)/sites/heimshelp/support/documents/training/2014-ministerial-notice-update-os-help-hecs-help.pptx",20150329090950,http://heimshelp.education.gov.au/sites/heimshelp/Support/Documents/Training/2014-Ministerial-Notice-Update-OS-HELP-HECS-HELP.pptx,application/vnd.ms-powerpoint.presentation.12,200,FRVDNEOEJEAHGKGP3ZX5IFFYH7HYKGDV,335575,20150329090950,20150329090950,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-support-documents-training-2014-ministerial-notice-update-os-help-hecs-help-pptx-20150329090950.pptx
70,"au,gov,education,heimshelp)/sites/heimshelp/support/documents/training/2014-ministerial-notice-update-os-help-hecs-help.pptx",20160312132040,http://heimshelp.education.gov.au/sites/heimshelp/Support/Documents/Training/2014-Ministerial-Notice-Update-OS-HELP-HECS-HELP.pptx,application/vnd.ms-powerpoint.presentation.12,200,CC5B6IKBNXUBJGEER6UNYI7UJCBM572B,335209,20160312132040,20160312132040,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-support-documents-training-2014-ministerial-notice-update-os-help-hecs-help-pptx-20160312132040.pptx
71,"au,gov,education,heimshelp)/sites/heimshelp/support/documents/training/webinar-commencement-date-revision-submission.pptx",20150329091047,http://heimshelp.education.gov.au/sites/heimshelp/Support/Documents/Training/Webinar-Commencement-Date-Revision-Submission.pptx,application/vnd.ms-powerpoint.presentation.12,200,Z57OK4L4DOLSEWYQ75LNWBSRONYOGVY5,1588057,20150329091047,20150329091047,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-support-documents-training-webinar-commencement-date-revision-submission-pptx-20150329091047.pptx
72,"au,gov,education,heimshelp)/sites/heimshelp/support/documents/training/webinar-commencement-date-revision-submission.pptx",20160312132128,http://heimshelp.education.gov.au/sites/heimshelp/Support/Documents/Training/Webinar-Commencement-Date-Revision-Submission.pptx,application/vnd.ms-powerpoint.presentation.12,200,4JY7XPLDSOQOFTSFEGOXP7YEFXQFVFM3,1191015,20160312132128,20160312132128,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-support-documents-training-webinar-commencement-date-revision-submission-pptx-20160312132128.pptx
73,"au,gov,education,heimshelp)/sites/heimshelp/support/documents/training/webinar-higher-education-ministerial-notice-2017.pptx",20160816100756,http://heimshelp.education.gov.au:80/sites/heimshelp/Support/Documents/Training/Webinar-Higher-Education-Ministerial-Notice-2017.pptx,application/vnd.ms-powerpoint.presentation.12,200,3ZNRBIQTBTCR7DWYIRN5OQW2ONCXRIYS,421450,20160816100756,20160816100756,404,powerpoints/education-gov-au/au-gov-education-heimshelp-sites-heimshelp-support-documents-training-webinar-higher-education-ministerial-notice-2017-pptx-20160816100756.pptx
